,learning_rate,kernel_size,batch_size,optimizer,n_hidden_layers,neurons,fitness
206,0.00021528480953884367,7,32,adam,3,"[16, 64, 32]",0.9783571362495422
207,0.002409332091752527,7,32,sgd,1,[16],0.9474285840988159
208,0.009501167805541161,5,128,adam,3,"[32, 16, 16]",0.9768571257591248
209,0.002409332091752527,7,32,adam,3,"[128, 64, 16]",0.9832857251167297
210,0.00010014315291987145,5,128,rmsprop,1,[256],0.9760000109672546
211,0.007469506980462902,3,64,sgd,1,[32],0.9440000057220459
212,0.00010014315291987145,5,128,adam,1,[128],0.9710714221000671
213,0.00010014315291987145,5,128,rmsprop,1,[128],0.973714292049408
214,0.009501167805541161,3,64,sgd,1,[256],0.9617142677307129
215,0.007469506980462902,3,128,sgd,1,[16],0.9207857251167297
216,0.0034479644113218685,5,32,adam,1,[16],0.9768571257591248
217,0.024319400711275436,5,128,sgd,3,"[64, 256, 16]",0.9637143015861511
218,0.012314457119516165,5,32,adam,1,[16],0.9705714583396912
219,0.002409332091752527,7,32,sgd,1,[32],0.9540714025497437
220,0.00886919859357738,5,64,rmsprop,3,"[16, 16, 128]",0.975857138633728
221,0.0008694307101599571,3,32,adam,3,"[128, 16, 32]",0.9845714569091797
222,0.00010014315291987145,5,128,adam,1,[128],0.9739999771118164
223,0.00010014315291987145,5,128,rmsprop,1,[32],0.954714298248291
224,0.012314457119516165,7,128,adam,1,[32],0.9789999723434448
225,0.002409332091752527,7,32,adam,3,"[32, 128, 16]",0.9802142977714539
226,0.00015222191107660036,5,64,rmsprop,3,"[32, 16, 128]",0.9675714373588562
227,0.012082639864916414,3,64,rmsprop,1,[128],0.9828571677207947
228,0.00021528480953884367,5,128,adam,2,"[32, 256]",0.975428581237793
229,0.007469506980462902,7,64,adam,3,"[128, 32, 16]",0.9819285869598389
230,0.007469506980462902,5,128,adam,3,"[128, 32, 16]",0.9833571314811707
231,0.007781769354806259,5,128,adam,3,"[32, 128, 128]",0.9815000295639038
232,0.00015222191107660036,5,32,sgd,1,[256],0.8477143049240112
233,0.038075447206066884,7,64,sgd,1,[128],0.9813571572303772
234,0.008456285609666632,3,32,rmsprop,1,[16],0.972000002861023
235,0.009501167805541161,7,64,rmsprop,1,[256],0.9839285612106323
236,0.03981570018479266,5,64,rmsprop,1,[256],0.11428571492433548
237,0.03981570018479266,7,64,rmsprop,2,"[64, 256]",0.11428571492433548
238,0.0018589706704654895,7,128,rmsprop,1,[16],0.9834285974502563
239,0.00010014315291987145,5,32,adam,3,"[128, 16, 32]",0.9777143001556396
240,0.00010014315291987145,5,128,sgd,1,[128],0.5404999852180481
241,0.00015222191107660036,5,32,rmsprop,1,[128],0.9819999933242798
242,0.002409332091752527,7,128,adam,3,"[16, 32, 16]",0.9806428551673889
243,0.0012119582468149495,7,32,sgd,1,[16],0.9279285669326782
244,0.00010014315291987145,5,32,rmsprop,1,[32],0.974142849445343
245,0.0034479644113218685,7,128,rmsprop,1,[32],0.9846428632736206
246,0.00010014315291987145,5,64,rmsprop,1,[256],0.979285717010498
247,0.00015222191107660036,3,128,rmsprop,2,"[64, 16]",0.9629285931587219
248,0.007469506980462902,3,32,adam,3,"[128, 16, 16]",0.9800714254379272
249,0.009501167805541161,5,128,adam,2,"[256, 16]",0.9802857041358948
250,0.00015222191107660036,5,32,rmsprop,3,"[16, 16, 128]",0.9666428565979004
251,0.00886919859357738,5,64,sgd,1,[256],0.9649999737739563
252,0.0034479644113218685,7,32,rmsprop,1,[16],0.9834285974502563
253,0.0034479644113218685,7,32,rmsprop,1,[16],0.9827142953872681
254,0.00348413000095449,7,128,adam,3,"[256, 256, 16]",0.9866428375244141
255,0.002409332091752527,7,64,adam,3,"[32, 256, 16]",0.9819285869598389
256,0.00021528480953884367,5,64,rmsprop,3,"[16, 16, 128]",0.9692857265472412
257,0.00886919859357738,5,128,rmsprop,2,"[32, 256]",0.9787142872810364
258,0.00010014315291987145,5,32,rmsprop,3,"[128, 64, 16]",0.977571427822113
259,0.002409332091752527,7,32,adam,1,[32],0.9847857356071472
260,0.024319400711275436,5,128,sgd,1,[128],0.970714271068573
261,0.012082639864916414,3,64,rmsprop,3,"[32, 16, 64]",0.9768571257591248
262,0.00010014315291987145,5,128,rmsprop,2,"[256, 16]",0.9717142581939697
263,0.009501167805541161,5,128,adam,1,[16],0.9785000085830688
264,0.0008694307101599571,3,32,adam,1,[16],0.9767857193946838
265,0.012314457119516165,3,128,adam,3,"[128, 16, 32]",0.9787856936454773
266,0.009501167805541161,5,128,adam,1,[32],0.9816428422927856
267,0.0027240070604798066,7,32,adam,3,"[32, 16, 16]",0.9848571419715881
268,0.00015222191107660036,5,64,rmsprop,3,"[256, 16, 64]",0.9800714254379272
269,0.009501167805541161,5,128,adam,2,"[16, 16]",0.9747142791748047
270,0.00021528480953884367,5,128,adam,3,"[32, 128, 256]",0.9791428446769714
271,0.007781769354806259,7,128,adam,2,"[32, 256]",0.9817857146263123
272,0.0001071615304633879,5,128,rmsprop,3,"[128, 16, 32]",0.9645000100135803
273,0.005486719479970266,7,32,adam,1,[256],0.9789999723434448
274,0.00021528480953884367,5,128,sgd,1,[16],0.5337142944335938
275,0.003759779395304745,7,64,adam,2,"[16, 256]",0.9823571443557739
