,learning_rate,kernel_size,batch_size,optimizer,n_hidden_layers,neurons,fitness
30,0.0013706272341494313,5,64,adam,2,"[16, 64]",0.9819999933242798
31,0.0002927106333661323,5,32,sgd,2,"[64, 256]",0.8647142648696899
32,0.010986269055806375,7,64,sgd,3,"[32, 256, 16]",0.9696428775787354
33,0.03487250129258369,3,128,rmsprop,2,"[64, 16]",0.9692857265472412
34,0.004003313776493292,3,128,adam,3,"[32, 64, 256]",0.9799285531044006
35,0.019838246757564328,3,32,adam,2,"[64, 256]",0.9582856893539429
36,0.0012189596536477385,3,128,adam,1,[64],0.982285737991333
37,0.004003313776493292,3,32,adam,2,"[16, 16]",0.9762856960296631
38,0.010986269055806375,3,64,rmsprop,1,[16],0.9755714535713196
39,0.0024427791540672385,3,128,rmsprop,2,"[64, 128]",0.9826428294181824
40,0.03487250129258369,7,32,adam,2,"[32, 16]",0.11428571492433548
41,0.000938573247104902,3,64,sgd,3,"[128, 256, 16]",0.8803571462631226
42,0.0015377852932824299,7,128,rmsprop,2,"[64, 16]",0.9852856993675232
43,0.005786908709115989,3,64,sgd,2,"[32, 32]",0.9425714015960693
44,0.005464379739917534,7,32,rmsprop,2,"[32, 64]",0.9811428785324097
45,0.010213578338710578,5,32,adam,2,"[16, 16]",0.9754999876022339
46,0.0004558747329471142,5,32,sgd,1,[16],0.9000714421272278
47,0.0005357864512974483,5,32,sgd,1,[64],0.9107857346534729
48,0.0003720717743188168,5,32,adam,1,[128],0.9829285740852356
49,0.00565630452949312,5,128,sgd,1,[64],0.9320714473724365
50,0.005719642433886329,5,32,rmsprop,2,"[32, 128]",0.981071412563324
51,0.010986269055806375,3,128,adam,2,"[16, 16]",0.9745000004768372
52,0.00565630452949312,5,32,adam,1,[128],0.9770714044570923
53,0.0003720717743188168,5,128,sgd,1,[64],0.7683571577072144
54,0.00216692279037575,3,64,adam,2,"[32, 32]",0.9787856936454773
55,0.005464379739917534,7,32,sgd,2,"[128, 16]",0.9713571667671204
56,0.03487250129258369,3,128,rmsprop,3,"[32, 256, 32]",0.11428571492433548
57,0.03680892745189663,5,32,sgd,2,"[64, 16]",0.9844285845756531
58,0.010986269055806375,3,64,sgd,2,"[128, 16]",0.9648571610450745
59,0.004003313776493292,7,64,sgd,2,"[128, 64]",0.9524999856948853
60,0.004003313776493292,3,128,rmsprop,2,"[64, 16]",0.9761428833007812
61,0.0015377852932824299,7,128,rmsprop,3,"[16, 256, 128]",0.984928548336029
62,0.0005590248575911891,5,32,sgd,2,"[256, 32]",0.919785737991333
63,0.004003313776493292,3,128,rmsprop,3,"[64, 128, 128]",0.9841428399085999
64,0.03412772748121734,3,64,sgd,1,[64],0.9679285883903503
65,0.00047216306472799727,3,64,adam,2,"[16, 128]",0.9784285426139832
66,0.0012189596536477385,3,128,rmsprop,3,"[64, 32, 128]",0.9802857041358948
67,0.002353280616957451,3,64,adam,3,"[16, 256, 128]",0.9787142872810364
68,0.008284768840933803,3,128,adam,3,"[64, 32, 128]",0.9806428551673889
69,0.002353280616957451,7,64,adam,1,[16],0.9825714230537415
70,0.0015377852932824299,7,128,rmsprop,2,"[16, 256]",0.9829285740852356
71,0.03487250129258369,3,128,rmsprop,2,"[64, 16]",0.9539285898208618
72,0.0005357864512974483,3,64,adam,3,"[32, 64, 256]",0.9822142720222473
73,0.004003313776493292,3,32,adam,2,"[32, 64]",0.9769999980926514
74,0.0003720717743188168,7,64,sgd,2,"[32, 16]",0.5126428604125977
75,0.0007594520975660203,5,128,adam,1,[128],0.9847142696380615
76,0.0011090001623822662,3,64,sgd,2,"[64, 128]",0.9038571715354919
77,0.005786908709115989,5,64,adam,2,"[64, 32]",0.9796428680419922
78,0.0012189596536477385,3,128,adam,1,[16],0.9769285917282104
79,0.0004558747329471142,5,32,sgd,1,[64],0.9036428332328796
80,0.004003313776493292,3,128,rmsprop,3,"[128, 64, 32]",0.9810000061988831
81,0.005786908709115989,3,64,sgd,3,"[16, 256, 128]",0.9351428747177124
82,0.010986269055806375,7,32,adam,2,"[32, 64]",0.9766428470611572
